x	err
184.991849 0.019890
186.204292 0.019582
187.468801 0.019278
188.675467 0.018985
189.895756 0.018707
191.121324 0.018438
192.317035 0.018182
193.516374 0.017941
194.703341 0.017710
195.878937 0.017492
197.086926 0.017299
198.287568 0.017117
199.545517 0.016954
200.807899 0.016808
202.021671 0.016683
203.202085 0.016571
204.402634 0.016485
205.630949 0.016428
206.847522 0.016391
208.066328 0.016392
209.284743 0.016419
210.473598 0.016480
211.706181 0.016569
212.909224 0.016670
214.110008 0.016807
215.283651 0.016967
216.457389 0.017154
217.678979 0.017366
218.857351 0.017594
220.043197 0.017838
221.262349 0.018096
222.459514 0.018369
223.659299 0.018661
224.852316 0.018967
226.033291 0.019290
227.273054 0.019610
228.514950 0.019930
229.715738 0.020246
230.943302 0.020550
232.128604 0.020838
233.346358 0.021105
234.559234 0.021354
235.742699 0.021578
236.916556 0.021773
238.084077 0.021935
239.265847 0.022068
240.440665 0.022155
241.641881 0.022206
242.815053 0.022220
243.981465 0.022200
245.150574 0.022140
246.355438 0.022041
247.575582 0.021903
248.770178 0.021732
249.969832 0.021535
251.148629 0.021314
252.343964 0.021066
253.581288 0.020808
254.849922 0.020536
256.140066 0.020251
257.387198 0.019949
258.600491 0.019648
259.821873 0.019352
261.008831 0.019057
262.226192 0.018763
263.435285 0.018479
264.605736 0.018202
265.800351 0.017940
267.049009 0.017709
268.276913 0.017493
269.464138 0.017293
270.632589 0.017112
271.818548 0.016954
272.994712 0.016816
274.164018 0.016688
275.330620 0.016572
276.506269 0.016469
277.680870 0.016373
278.855617 0.016284
280.064466 0.016199
281.278473 0.016105
282.449128 0.016010
283.616257 0.015902
284.845361 0.015778
286.029704 0.015630
287.255063 0.015484
288.436329 0.015325
289.626389 0.015147
290.821597 0.014955
291.999452 0.014745
293.167667 0.014517
294.352771 0.014273
295.566370 0.014024
296.774661 0.013768
298.014385 0.013513
299.251261 0.013262
300.483393 0.013034
301.736527 0.012823
302.916548 0.012638
304.118131 0.012483
305.344507 0.012366
306.545269 0.012290
307.763377 0.012257
308.998625 0.012266
310.221495 0.012313
311.419672 0.012401
312.610064 0.012530
313.830471 0.012704
315.023197 0.012917
316.252048 0.013159
317.479601 0.013436
318.681081 0.013741
319.878590 0.014073
321.101504 0.014436
322.287402 0.014813
323.493496 0.015216
324.724249 0.015632
325.939291 0.016057
327.167126 0.016492
328.379794 0.016950
329.570135 0.017425
330.759752 0.017913
331.948230 0.018411
333.193997 0.018923
334.449455 0.019443
335.641200 0.019977
336.851583 0.020524
338.070580 0.021081
339.305406 0.021643
340.506311 0.022211
341.717620 0.022781
342.952383 0.023345
344.142508 0.023903
345.391805 0.024449
346.602785 0.024983
347.816614 0.025486
349.063456 0.025968
350.284857 0.026428
351.510095 0.026857
352.706404 0.027244
353.903784 0.027586
355.124538 0.027882
356.328009 0.028123
357.566656 0.028309
358.786951 0.028441
359.994733 0.028517
